filepath,class
archive (1)/train/golf/Image_1.jpg,golf
archive (1)/train/roller derby/Image_2.jpg,roller derby
archive (1)/train/high jump/Image_3.jpg,high jump
archive (1)/train/bungee jumping/Image_4.jpg,bungee jumping
archive (1)/train/rugby/Image_5.jpg,rugby
archive (1)/train/sumo wrestling/Image_6.jpg,sumo wrestling
archive (1)/train/billiards/Image_7.jpg,billiards
archive (1)/train/judo/Image_8.jpg,judo
archive (1)/train/figure skating pairs/Image_9.jpg,figure skating pairs
archive (1)/train/baseball/Image_10.jpg,baseball
archive (1)/train/hockey/Image_11.jpg,hockey
archive (1)/train/fencing/Image_12.jpg,fencing
archive (1)/train/frisbee/Image_13.jpg,frisbee
archive (1)/train/snow boarding/Image_14.jpg,snow boarding
archive (1)/train/cheerleading/Image_15.jpg,cheerleading
archive (1)/train/hammer throw/Image_16.jpg,hammer throw
archive (1)/train/jai alai/Image_17.jpg,jai alai
archive (1)/train/skydiving/Image_18.jpg,skydiving
archive (1)/train/cheerleading/Image_19.jpg,cheerleading
archive (1)/train/hurdles/Image_20.jpg,hurdles
archive (1)/train/chuckwagon racing/Image_21.jpg,chuckwagon racing
archive (1)/train/canoe slamon/Image_22.jpg,canoe slamon
archive (1)/train/figure skating men/Image_23.jpg,figure skating men
archive (1)/train/balance beam/Image_24.jpg,balance beam
archive (1)/train/steer wrestling/Image_25.jpg,steer wrestling
archive (1)/train/baton twirling/Image_26.jpg,baton twirling
archive (1)/train/snowmobile racing/Image_27.jpg,snowmobile racing
archive (1)/train/luge/Image_28.jpg,luge
archive (1)/train/swimming/Image_29.jpg,swimming
archive (1)/train/pole vault/Image_30.jpg,pole vault
archive (1)/train/boxing/Image_31.jpg,boxing
archive (1)/train/table tennis/Image_32.jpg,table tennis
archive (1)/train/sumo wrestling/Image_33.jpg,sumo wrestling
archive (1)/train/football/Image_34.jpg,football
archive (1)/train/roller derby/Image_35.jpg,roller derby
archive (1)/train/track bicycle/Image_36.jpg,track bicycle
archive (1)/train/nascar racing/Image_37.jpg,nascar racing
archive (1)/train/hockey/Image_38.jpg,hockey
archive (1)/train/polo/Image_39.jpg,polo
archive (1)/train/cheerleading/Image_40.jpg,cheerleading
archive (1)/train/air hockey/Image_41.jpg,air hockey
archive (1)/train/hang gliding/Image_42.jpg,hang gliding
archive (1)/train/weightlifting/Image_43.jpg,weightlifting
archive (1)/train/chuckwagon racing/Image_44.jpg,chuckwagon racing
archive (1)/train/parallel bar/Image_45.jpg,parallel bar
archive (1)/train/baseball/Image_46.jpg,baseball
archive (1)/train/hammer throw/Image_47.jpg,hammer throw
archive (1)/train/hydroplane racing/Image_48.jpg,hydroplane racing
archive (1)/train/horse jumping/Image_49.jpg,horse jumping
archive (1)/train/tug of war/Image_50.jpg,tug of war
archive (1)/train/croquet/Image_51.jpg,croquet
archive (1)/train/canoe slamon/Image_52.jpg,canoe slamon
archive (1)/train/ice yachting/Image_53.jpg,ice yachting
archive (1)/train/rugby/Image_54.jpg,rugby
archive (1)/train/snowmobile racing/Image_55.jpg,snowmobile racing
archive (1)/train/shot put/Image_56.jpg,shot put
archive (1)/train/field hockey/Image_57.jpg,field hockey
archive (1)/train/tennis/Image_58.jpg,tennis
archive (1)/train/formula 1 racing/Image_59.jpg,formula 1 racing
archive (1)/train/rings/Image_60.jpg,rings
archive (1)/train/gaga/Image_61.jpg,gaga
archive (1)/train/cricket/Image_62.jpg,cricket
archive (1)/train/formula 1 racing/Image_63.jpg,formula 1 racing
archive (1)/train/ice yachting/Image_64.jpg,ice yachting
archive (1)/train/chuckwagon racing/Image_65.jpg,chuckwagon racing
archive (1)/train/canoe slamon/Image_66.jpg,canoe slamon
archive (1)/train/horseshoe pitching/Image_67.jpg,horseshoe pitching
archive (1)/train/snowmobile racing/Image_68.jpg,snowmobile racing
archive (1)/train/baseball/Image_69.jpg,baseball
archive (1)/train/archery/Image_70.jpg,archery
archive (1)/train/football/Image_71.jpg,football
archive (1)/train/hammer throw/Image_72.jpg,hammer throw
archive (1)/train/field hockey/Image_73.jpg,field hockey
archive (1)/train/sidecar racing/Image_74.jpg,sidecar racing
archive (1)/train/curling/Image_75.jpg,curling
archive (1)/train/pole vault/Image_76.jpg,pole vault
archive (1)/train/disc golf/Image_77.jpg,disc golf
archive (1)/train/bike polo/Image_78.jpg,bike polo
archive (1)/train/olympic wrestling/Image_79.jpg,olympic wrestling
archive (1)/train/luge/Image_80.jpg,luge
archive (1)/train/sumo wrestling/Image_81.jpg,sumo wrestling
archive (1)/train/baton twirling/Image_82.jpg,baton twirling
archive (1)/train/frisbee/Image_83.jpg,frisbee
archive (1)/train/nascar racing/Image_84.jpg,nascar racing
archive (1)/train/ski jumping/Image_85.jpg,ski jumping
archive (1)/train/pole climbing/Image_86.jpg,pole climbing
archive (1)/train/tug of war/Image_87.jpg,tug of war
archive (1)/train/sailboat racing/Image_88.jpg,sailboat racing
archive (1)/train/curling/Image_89.jpg,curling
archive (1)/train/snowmobile racing/Image_90.jpg,snowmobile racing
archive (1)/train/sidecar racing/Image_91.jpg,sidecar racing
archive (1)/train/hockey/Image_92.jpg,hockey
archive (1)/train/mushing/Image_93.jpg,mushing
archive (1)/train/field hockey/Image_94.jpg,field hockey
archive (1)/train/arm wrestling/Image_95.jpg,arm wrestling
archive (1)/train/shot put/Image_96.jpg,shot put
archive (1)/train/pole dancing/Image_97.jpg,pole dancing
archive (1)/train/horse racing/Image_98.jpg,horse racing
archive (1)/train/croquet/Image_99.jpg,croquet
archive (1)/train/fencing/Image_100.jpg,fencing
archive (1)/train/baseball/Image_101.jpg,baseball
archive (1)/train/water polo/Image_102.jpg,water polo
archive (1)/train/track bicycle/Image_103.jpg,track bicycle
archive (1)/train/sumo wrestling/Image_104.jpg,sumo wrestling
archive (1)/train/giant slalom/Image_105.jpg,giant slalom
archive (1)/train/sumo wrestling/Image_106.jpg,sumo wrestling
archive (1)/train/cheerleading/Image_107.jpg,cheerleading
archive (1)/train/roller derby/Image_108.jpg,roller derby
archive (1)/train/baton twirling/Image_109.jpg,baton twirling
archive (1)/train/water cycling/Image_110.jpg,water cycling
archive (1)/train/barell racing/Image_111.jpg,barell racing
archive (1)/train/uneven bars/Image_112.jpg,uneven bars
archive (1)/train/wheelchair racing/Image_113.jpg,wheelchair racing
archive (1)/train/motorcycle racing/Image_114.jpg,motorcycle racing
archive (1)/train/sidecar racing/Image_115.jpg,sidecar racing
archive (1)/train/rock climbing/Image_116.jpg,rock climbing
archive (1)/train/bobsled/Image_117.jpg,bobsled
archive (1)/train/jousting/Image_118.jpg,jousting
archive (1)/train/motorcycle racing/Image_119.jpg,motorcycle racing
archive (1)/train/rock climbing/Image_120.jpg,rock climbing
archive (1)/train/ski jumping/Image_121.jpg,ski jumping
