filepath,superclass,class
../archive (1)/train/golf/Image_1.jpg,precision & target sports,golf
../archive (1)/train/roller derby/Image_2.jpg,field & team ball sports,roller derby
../archive (1)/train/high jump/Image_3.jpg,track & field athletics,high jump
../archive (1)/train/bungee jumping/Image_4.jpg,aerial,bungee jumping
../archive (1)/train/rugby/Image_5.jpg,field & team ball sports,rugby
../archive (1)/train/sumo wrestling/Image_6.jpg,combat & strength sports,sumo wrestling
../archive (1)/train/billiards/Image_7.jpg,precision & target sports,billiards
../archive (1)/train/judo/Image_8.jpg,combat & strength sports,judo
../archive (1)/train/figure skating pairs/Image_9.jpg,ice & snow sports,figure skating pairs
../archive (1)/train/baseball/Image_10.jpg,field & team ball sports,baseball
../archive (1)/train/hockey/Image_11.jpg,ice & snow sports,hockey
../archive (1)/train/fencing/Image_12.jpg,combat & strength sports,fencing
../archive (1)/train/frisbee/Image_13.jpg,field & team ball sports,frisbee
../archive (1)/train/snow boarding/Image_14.jpg,ice & snow sports,snow boarding
../archive (1)/train/cheerleading/Image_15.jpg,gymnastics,cheerleading
../archive (1)/train/hammer throw/Image_16.jpg,track & field athletics,hammer throw
../archive (1)/train/jai alai/Image_17.jpg,court ball sports,jai alai
../archive (1)/train/skydiving/Image_18.jpg,aerial,skydiving
../archive (1)/train/cheerleading/Image_19.jpg,gymnastics,cheerleading
../archive (1)/train/hurdles/Image_20.jpg,track & field athletics,hurdles
../archive (1)/train/chuckwagon racing/Image_21.jpg,equestrian & animal sports,chuckwagon racing
../archive (1)/train/canoe slamon/Image_22.jpg,water,canoe slamon
../archive (1)/train/figure skating men/Image_23.jpg,ice & snow sports,figure skating men
../archive (1)/train/balance beam/Image_24.jpg,gymnastics,balance beam
../archive (1)/train/steer wrestling/Image_25.jpg,combat & strength sports,steer wrestling
../archive (1)/train/baton twirling/Image_26.jpg,gymnastics,baton twirling
../archive (1)/train/snowmobile racing/Image_27.jpg,ice & snow sports,snowmobile racing
../archive (1)/train/luge/Image_28.jpg,ice & snow sports,luge
../archive (1)/train/swimming/Image_29.jpg,water,swimming
../archive (1)/train/pole vault/Image_30.jpg,track & field athletics,pole vault
../archive (1)/train/boxing/Image_31.jpg,combat & strength sports,boxing
../archive (1)/train/table tennis/Image_32.jpg,court ball sports,table tennis
../archive (1)/train/sumo wrestling/Image_33.jpg,combat & strength sports,sumo wrestling
../archive (1)/train/football/Image_34.jpg,field & team ball sports,football
../archive (1)/train/roller derby/Image_35.jpg,field & team ball sports,roller derby
../archive (1)/train/track bicycle/Image_36.jpg,motor & wheel racing,track bicycle
../archive (1)/train/nascar racing/Image_37.jpg,motor & wheel racing,nascar racing
../archive (1)/train/hockey/Image_38.jpg,ice & snow sports,hockey
../archive (1)/train/polo/Image_39.jpg,equestrian & animal sports,polo
../archive (1)/train/cheerleading/Image_40.jpg,gymnastics,cheerleading
../archive (1)/train/air hockey/Image_41.jpg,precision & target sports,air hockey
../archive (1)/train/hang gliding/Image_42.jpg,aerial,hang gliding
../archive (1)/train/weightlifting/Image_43.jpg,combat & strength sports,weightlifting
../archive (1)/train/chuckwagon racing/Image_44.jpg,equestrian & animal sports,chuckwagon racing
../archive (1)/train/parallel bar/Image_45.jpg,gymnastics,parallel bar
../archive (1)/train/baseball/Image_46.jpg,field & team ball sports,baseball
../archive (1)/train/hammer throw/Image_47.jpg,track & field athletics,hammer throw
../archive (1)/train/hydroplane racing/Image_48.jpg,water,hydroplane racing
../archive (1)/train/horse jumping/Image_49.jpg,equestrian & animal sports,horse jumping
../archive (1)/train/tug of war/Image_50.jpg,combat & strength sports,tug of war
../archive (1)/train/croquet/Image_51.jpg,precision & target sports,croquet
../archive (1)/train/canoe slamon/Image_52.jpg,water,canoe slamon
../archive (1)/train/ice yachting/Image_53.jpg,ice & snow sports,ice yachting
../archive (1)/train/rugby/Image_54.jpg,field & team ball sports,rugby
../archive (1)/train/snowmobile racing/Image_55.jpg,ice & snow sports,snowmobile racing
../archive (1)/train/shot put/Image_56.jpg,track & field athletics,shot put
../archive (1)/train/field hockey/Image_57.jpg,field & team ball sports,field hockey
../archive (1)/train/tennis/Image_58.jpg,court ball sports,tennis
../archive (1)/train/formula 1 racing/Image_59.jpg,motor & wheel racing,formula 1 racing
../archive (1)/train/rings/Image_60.jpg,gymnastics,rings
../archive (1)/train/gaga/Image_61.jpg,field & team ball sports,gaga
../archive (1)/train/cricket/Image_62.jpg,field & team ball sports,cricket
../archive (1)/train/formula 1 racing/Image_63.jpg,motor & wheel racing,formula 1 racing
../archive (1)/train/ice yachting/Image_64.jpg,ice & snow sports,ice yachting
../archive (1)/train/chuckwagon racing/Image_65.jpg,equestrian & animal sports,chuckwagon racing
../archive (1)/train/canoe slamon/Image_66.jpg,water,canoe slamon
../archive (1)/train/horseshoe pitching/Image_67.jpg,precision & target sports,horseshoe pitching
../archive (1)/train/snowmobile racing/Image_68.jpg,ice & snow sports,snowmobile racing
../archive (1)/train/baseball/Image_69.jpg,field & team ball sports,baseball
../archive (1)/train/archery/Image_70.jpg,precision & target sports,archery
../archive (1)/train/football/Image_71.jpg,field & team ball sports,football
../archive (1)/train/hammer throw/Image_72.jpg,track & field athletics,hammer throw
../archive (1)/train/field hockey/Image_73.jpg,field & team ball sports,field hockey
../archive (1)/train/sidecar racing/Image_74.jpg,motor & wheel racing,sidecar racing
../archive (1)/train/curling/Image_75.jpg,precision & target sports,curling
../archive (1)/train/pole vault/Image_76.jpg,track & field athletics,pole vault
../archive (1)/train/disc golf/Image_77.jpg,precision & target sports,disc golf
../archive (1)/train/bike polo/Image_78.jpg,motor & wheel racing,bike polo
../archive (1)/train/olympic wrestling/Image_79.jpg,combat & strength sports,olympic wrestling
../archive (1)/train/luge/Image_80.jpg,ice & snow sports,luge
../archive (1)/train/sumo wrestling/Image_81.jpg,combat & strength sports,sumo wrestling
../archive (1)/train/baton twirling/Image_82.jpg,gymnastics,baton twirling
../archive (1)/train/frisbee/Image_83.jpg,field & team ball sports,frisbee
../archive (1)/train/nascar racing/Image_84.jpg,motor & wheel racing,nascar racing
../archive (1)/train/ski jumping/Image_85.jpg,ice & snow sports,ski jumping
../archive (1)/train/pole climbing/Image_86.jpg,track & field athletics,pole climbing
../archive (1)/train/tug of war/Image_87.jpg,combat & strength sports,tug of war
../archive (1)/train/sailboat racing/Image_88.jpg,water,sailboat racing
../archive (1)/train/curling/Image_89.jpg,precision & target sports,curling
../archive (1)/train/snowmobile racing/Image_90.jpg,ice & snow sports,snowmobile racing
../archive (1)/train/sidecar racing/Image_91.jpg,motor & wheel racing,sidecar racing
../archive (1)/train/hockey/Image_92.jpg,ice & snow sports,hockey
../archive (1)/train/mushing/Image_93.jpg,ice & snow sports,mushing
../archive (1)/train/field hockey/Image_94.jpg,field & team ball sports,field hockey
../archive (1)/train/arm wrestling/Image_95.jpg,combat & strength sports,arm wrestling
../archive (1)/train/shot put/Image_96.jpg,track & field athletics,shot put
../archive (1)/train/pole dancing/Image_97.jpg,gymnastics,pole dancing
../archive (1)/train/horse racing/Image_98.jpg,equestrian & animal sports,horse racing
../archive (1)/train/croquet/Image_99.jpg,precision & target sports,croquet
../archive (1)/train/fencing/Image_100.jpg,combat & strength sports,fencing
../archive (1)/train/baseball/Image_101.jpg,field & team ball sports,baseball
../archive (1)/train/water polo/Image_102.jpg,water,water polo
../archive (1)/train/track bicycle/Image_103.jpg,motor & wheel racing,track bicycle
../archive (1)/train/sumo wrestling/Image_104.jpg,combat & strength sports,sumo wrestling
../archive (1)/train/giant slalom/Image_105.jpg,ice & snow sports,giant slalom
../archive (1)/train/sumo wrestling/Image_106.jpg,combat & strength sports,sumo wrestling
../archive (1)/train/cheerleading/Image_107.jpg,gymnastics,cheerleading
../archive (1)/train/roller derby/Image_108.jpg,field & team ball sports,roller derby
../archive (1)/train/baton twirling/Image_109.jpg,gymnastics,baton twirling
../archive (1)/train/water cycling/Image_110.jpg,water,water cycling
../archive (1)/train/barell racing/Image_111.jpg,equestrian & animal sports,barell racing
../archive (1)/train/uneven bars/Image_112.jpg,gymnastics,uneven bars
../archive (1)/train/wheelchair racing/Image_113.jpg,motor & wheel racing,wheelchair racing
../archive (1)/train/motorcycle racing/Image_114.jpg,motor & wheel racing,motorcycle racing
../archive (1)/train/sidecar racing/Image_115.jpg,motor & wheel racing,sidecar racing
../archive (1)/train/rock climbing/Image_116.jpg,combat & strength sports,rock climbing
../archive (1)/train/bobsled/Image_117.jpg,ice & snow sports,bobsled
../archive (1)/train/jousting/Image_118.jpg,combat & strength sports,jousting
../archive (1)/train/motorcycle racing/Image_119.jpg,motor & wheel racing,motorcycle racing
