filepath,superclass,class
../archive (1)/train/golf/Image_3951.jpg,precision & target sports,unknown
../archive (2)/valid/golf/3.jpg,precision & target sports,unknown
../archive (2)/test/golf/3.jpg,precision & target sports,unknown
../archive (2)/train/golf/126.jpg,precision & target sports,unknown
../archive (2)/train/golf/036.jpg,precision & target sports,unknown
../archive (2)/train/golf/130.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_5084.jpg,precision & target sports,unknown
../archive (2)/train/golf/058.jpg,precision & target sports,unknown
../archive (2)/train/golf/014.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_3637.jpg,precision & target sports,unknown
../archive (2)/train/golf/089.jpg,precision & target sports,unknown
../archive (2)/train/golf/054.jpg,precision & target sports,unknown
../archive (2)/train/golf/108.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_2737.jpg,precision & target sports,unknown
../archive (2)/train/golf/059.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_9222.jpg,precision & target sports,unknown
../archive (2)/train/golf/113.jpg,precision & target sports,unknown
../archive (2)/train/golf/052.jpg,precision & target sports,unknown
../archive (2)/train/golf/061.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_6497.jpg,precision & target sports,unknown
../archive (2)/train/golf/118.jpg,precision & target sports,unknown
../archive (2)/train/golf/029.jpg,precision & target sports,unknown
../archive (2)/train/golf/073.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_4459.jpg,precision & target sports,unknown
../archive (2)/train/golf/157.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_2110.jpg,precision & target sports,unknown
../archive (2)/train/golf/128.jpg,precision & target sports,unknown
../archive (2)/train/golf/013.jpg,precision & target sports,unknown
../archive (2)/train/golf/115.jpg,precision & target sports,unknown
../archive (2)/train/golf/075.jpg,precision & target sports,unknown
../archive (2)/train/golf/148.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_4761.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_1.jpg,precision & target sports,unknown
../archive (2)/train/golf/021.jpg,precision & target sports,unknown
../archive (2)/train/golf/133.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_4537.jpg,precision & target sports,unknown
../archive (2)/train/golf/122.jpg,precision & target sports,unknown
../archive (2)/train/golf/141.jpg,precision & target sports,unknown
../archive (1)/train/golf/Image_7098.jpg,precision & target sports,golf
../archive (2)/train/golf/001.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_7870.jpg,precision & target sports,golf
../archive (2)/train/golf/145.jpg,precision & target sports,golf
../archive (2)/train/golf/055.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_8476.jpg,precision & target sports,golf
../archive (2)/train/golf/027.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_2994.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_8412.jpg,precision & target sports,golf
../archive (2)/train/golf/082.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_2137.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_351.jpg,precision & target sports,golf
../archive (2)/train/golf/080.jpg,precision & target sports,golf
../archive (2)/train/golf/092.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_6877.jpg,precision & target sports,golf
../archive (2)/train/golf/079.jpg,precision & target sports,golf
../archive (2)/train/golf/140.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_2578.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_4541.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_1576.jpg,precision & target sports,golf
../archive (2)/train/golf/138.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_2499.jpg,precision & target sports,golf
../archive (2)/train/golf/156.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_2419.jpg,precision & target sports,golf
../archive (2)/train/golf/041.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_6312.jpg,precision & target sports,golf
../archive (2)/train/golf/023.jpg,precision & target sports,golf
../archive (2)/train/golf/004.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_8679.jpg,precision & target sports,golf
../archive (2)/train/golf/154.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_6293.jpg,precision & target sports,golf
../archive (2)/valid/golf/5.jpg,precision & target sports,golf
../archive (2)/train/golf/044.jpg,precision & target sports,golf
